OTU,FConL1,FConL2,FConL3,FFAL1,FFAL2,FFAL3,FHAL1,FHAL2,FHAL3,VConL1,VConL2,VConL3,VFAL1,VFAL2,VFAL3,VHAL1,VHAL2,VHAL3
OTU1463,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0
OTU1474,0,0,0,0,0,0,0,0,0,21,0,0,22,0,0,0,0,0
OTU148,0,0,0,0,0,0,13,17,12,0,0,0,0,0,0,0,0,0
OTU149,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
OTU150,0,0,0,0,0,0,12,0,1,0,0,0,0,0,2,0,0,0
OTU1500,0,0,0,0,0,0,0,0,0,117,0,0,158,0,0,0,0,0
OTU1508,0,0,0,0,0,0,0,0,0,2,0,0,7,0,1,0,0,0
OTU1514,0,0,0,0,0,0,0,0,0,7,0,0,42,0,1,0,0,0
OTU1519,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0
OTU152,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1522,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OTU1530,0,0,0,0,0,0,0,0,0,94,0,0,97,0,0,0,0,0
OTU1539,0,0,0,0,0,0,0,0,0,24,2,1,14,0,0,0,0,0
OTU154,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU1541,0,0,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0
OTU1544,0,0,0,0,0,0,0,0,8,45,0,0,99,1,44,0,0,0
OTU1549,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
OTU1550,0,0,0,0,0,0,0,0,1,0,6,1,0,4,3,1,0,0
OTU1551,0,0,0,4,0,0,0,7,0,45,130,12,12,154,1,17,0,0
OTU1552,0,0,0,0,0,0,0,0,0,72,14,0,52,0,6,0,0,0
OTU1554,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
OTU1555,9,0,0,0,0,0,0,1,0,0,38,0,0,0,0,0,0,0
OTU1556,6,7,3,412,149,547,8,5,2,30,132,48,3,0,0,0,101,0
OTU1559,34,42,29,0,10,0,10,0,8,9,58,2,31,13,0,0,46,38
OTU1561,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
OTU1563,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
OTU1564,0,0,0,0,0,0,0,8,0,0,11,0,0,0,0,0,0,0
OTU1567,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0
OTU1569,69,5,0,13,0,0,15,44,4,148,149,23,178,6,45,0,0,0
OTU1571,7,7,0,28,0,0,0,16,7,4,29,0,2,0,5,0,0,0
OTU1572,8,8,6,0,0,46,38,19,10,3,15,4,0,0,8,0,0,0
OTU1573,21,0,0,4,0,19,0,23,5,21,21,2,0,0,0,8,0,0
OTU1575,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
OTU1576,0,0,0,0,0,0,0,0,2,0,110,0,0,0,0,0,0,0
OTU1578,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1581,0,0,6,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0
OTU1582,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,1,0
OTU1583,0,0,0,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0
OTU1584,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,101,0,0
OTU1586,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU1587,0,0,0,0,0,0,3,46,2,0,22,0,1,0,0,2,0,0
OTU1588,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
OTU1589,29,32,30,0,42,31,47,78,92,107,27,24,1,0,4,0,0,0
OTU1590,8,16,0,0,29,0,0,0,0,25,26,4,0,0,0,0,0,0
OTU1591,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
OTU1593,0,0,0,22,0,0,0,0,3,0,33,12,0,0,0,1,19,0
OTU16,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
OTU1601,0,12,0,0,0,0,0,6,1,5,12,10,3,0,22,2,0,16
OTU1602,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0
OTU1604,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0
OTU1606,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0
OTU161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU1611,0,0,0,0,2,0,0,32,0,0,0,6,0,0,0,7,0,0
OTU1613,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
OTU1617,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0
OTU162,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1620,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,0
OTU1621,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,1,0
OTU1623,10,1,3,37,0,0,0,0,4,10,2,463,15,77,16,0,0,0
OTU163,15,13,9,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0
OTU1630,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU1632,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU1635,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
OTU1637,1,0,0,0,0,0,0,0,2,0,71,27,0,0,0,4,0,0
OTU164,1311,1301,435,366,303,344,167,307,781,21,64,48,103,24,36,5,62,33
OTU1643,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU1645,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
